"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1M_RR","142","1972-05-01","40.6","4","5",
"OBS_DEU_P1M_RR","142","1972-06-01","98.8","4","5",
"OBS_DEU_P1M_RR","142","1972-07-01","65.6","4","5",
"OBS_DEU_P1M_RR","142","1972-08-01","59.6","4","5",
"OBS_DEU_P1M_RR","142","1972-09-01","40.7","4","5",
"OBS_DEU_P1M_RR","142","1972-10-01","49.5","4","5",
"OBS_DEU_P1M_RR","142","1972-11-01","148.6","4","5",
"OBS_DEU_P1M_RR","142","1972-12-01","12.1","4","5",
"OBS_DEU_P1M_RR","142","1973-01-01","32.3","4","5",
"OBS_DEU_P1M_RR","142","1973-02-01","40.6","4","5",
"OBS_DEU_P1M_RR","142","1973-03-01","43.1","4","5",
"OBS_DEU_P1M_RR","142","1973-04-01","67.2","4","5",
"OBS_DEU_P1M_RR","142","1973-05-01","53.9","4","5",
"OBS_DEU_P1M_RR","142","1973-06-01","93.2","4","5",
"OBS_DEU_P1M_RR","142","1973-07-01","102.8","4","5",
"OBS_DEU_P1M_RR","142","1973-08-01","75.6","4","5",
"OBS_DEU_P1M_RR","142","1973-09-01","37.5","4","5",
"OBS_DEU_P1M_RR","142","1973-10-01","74.1","4","5",
"OBS_DEU_P1M_RR","142","1973-11-01","116.6","4","5",
"OBS_DEU_P1M_RR","142","1973-12-01","47.2","4","5",
"OBS_DEU_P1M_RR","142","1974-01-01","53.4","4","5",
"OBS_DEU_P1M_RR","142","1974-02-01","68","4","5",
"OBS_DEU_P1M_RR","142","1974-03-01","35.4","4","5",
"OBS_DEU_P1M_RR","142","1974-04-01","26.4","4","5",
"OBS_DEU_P1M_RR","142","1974-05-01","104.9","4","5",
"OBS_DEU_P1M_RR","142","1974-06-01","108","4","5",
"OBS_DEU_P1M_RR","142","1974-07-01","105.9","4","5",
"OBS_DEU_P1M_RR","142","1974-08-01","81.1","4","5",
"OBS_DEU_P1M_RR","142","1974-09-01","58.3","4","5",
"OBS_DEU_P1M_RR","142","1974-10-01","126.4","4","5",
"OBS_DEU_P1M_RR","142","1974-11-01","73.3","4","5",
"OBS_DEU_P1M_RR","142","1974-12-01","92.2","4","5",
"OBS_DEU_P1M_RR","142","1975-01-01","58.7","4","5",
"OBS_DEU_P1M_RR","142","1975-02-01","22.7","4","5",
"OBS_DEU_P1M_RR","142","1975-03-01","60.1","4","5",
"OBS_DEU_P1M_RR","142","1975-04-01","49.8","4","5",
"OBS_DEU_P1M_RR","142","1975-05-01","79.6","4","5",
"OBS_DEU_P1M_RR","142","1975-06-01","155.6","4","5",
"OBS_DEU_P1M_RR","142","1975-07-01","150.2","4","5",
"OBS_DEU_P1M_RR","142","1975-08-01","148.9","4","5",
"OBS_DEU_P1M_RR","142","1975-09-01","60.7","4","5",
"OBS_DEU_P1M_RR","142","1975-10-01","63.3","4","5",
"OBS_DEU_P1M_RR","142","1975-11-01","71.1","4","5",
"OBS_DEU_P1M_RR","142","1975-12-01","22","4","5",
"OBS_DEU_P1M_RR","142","1976-01-01","56.3","4","5",
"OBS_DEU_P1M_RR","142","1976-02-01","22.8","4","5",
"OBS_DEU_P1M_RR","142","1976-03-01","18.7","4","5",
"OBS_DEU_P1M_RR","142","1976-04-01","56.7","4","5",
"OBS_DEU_P1M_RR","142","1976-05-01","89.5","4","5",
"OBS_DEU_P1M_RR","142","1976-06-01","41.2","4","5",
"OBS_DEU_P1M_RR","142","1976-07-01","92.2","4","5",
"OBS_DEU_P1M_RR","142","1976-08-01","95","4","5",
"OBS_DEU_P1M_RR","142","1976-09-01","89.1","4","5",
"OBS_DEU_P1M_RR","142","1976-10-01","42.4","4","5",
"OBS_DEU_P1M_RR","142","1976-11-01","58.2","4","5",
"OBS_DEU_P1M_RR","142","1976-12-01","37.8","4","5",
"OBS_DEU_P1M_RR","142","1977-01-01","39.1","4","5",
"OBS_DEU_P1M_RR","142","1977-02-01","89.9","4","5",
"OBS_DEU_P1M_RR","142","1977-03-01","33.3","4","5",
"OBS_DEU_P1M_RR","142","1977-04-01","78.8","4","5",
"OBS_DEU_P1M_RR","142","1977-05-01","28.7","4","5",
"OBS_DEU_P1M_RR","142","1977-06-01","148.9","4","5",
"OBS_DEU_P1M_RR","142","1977-07-01","139.3","4","5",
"OBS_DEU_P1M_RR","142","1977-08-01","105.2","4","5",
"OBS_DEU_P1M_RR","142","1977-09-01","76.5","4","5",
"OBS_DEU_P1M_RR","142","1977-10-01","57.3","4","5",
"OBS_DEU_P1M_RR","142","1977-11-01","82.5","4","5",
"OBS_DEU_P1M_RR","142","1977-12-01","65.8","4","5",
"OBS_DEU_P1M_RR","142","1978-01-01","33.4","4","5",
"OBS_DEU_P1M_RR","142","1978-02-01","56.4","4","5",
"OBS_DEU_P1M_RR","142","1978-03-01","71.1","4","5",
"OBS_DEU_P1M_RR","142","1978-04-01","28.7","4","5",
"OBS_DEU_P1M_RR","142","1978-05-01","146.3","4","5",
"OBS_DEU_P1M_RR","142","1978-06-01","129.2","4","5",
"OBS_DEU_P1M_RR","142","1978-07-01","88.9","4","5",
"OBS_DEU_P1M_RR","142","1978-08-01","109.2","4","5",
"OBS_DEU_P1M_RR","142","1978-09-01","80.6","4","5",
"OBS_DEU_P1M_RR","142","1978-10-01","63.8","4","5",
"OBS_DEU_P1M_RR","142","1978-11-01","11.7","4","5",
"OBS_DEU_P1M_RR","142","1978-12-01","36.6","4","5",
"OBS_DEU_P1M_RR","142","1979-01-01","68.3","4","5",
"OBS_DEU_P1M_RR","142","1979-02-01","46.5","4","5",
"OBS_DEU_P1M_RR","142","1979-03-01","93.7","4","5",
"OBS_DEU_P1M_RR","142","1979-04-01","62.8","4","5",
"OBS_DEU_P1M_RR","142","1979-05-01","29.3","4","5",
"OBS_DEU_P1M_RR","142","1979-06-01","204.6","4","5",
"OBS_DEU_P1M_RR","142","1979-07-01","96.8","4","5",
"OBS_DEU_P1M_RR","142","1979-08-01","103.6","4","5",
"OBS_DEU_P1M_RR","142","1979-09-01","150.1","4","5",
"OBS_DEU_P1M_RR","142","1979-10-01","21.7","4","5",
"OBS_DEU_P1M_RR","142","1979-11-01","96","4","5",
"OBS_DEU_P1M_RR","142","1979-12-01","44.7","4","5",
"OBS_DEU_P1M_RR","142","1980-01-01","52.9","4","5",
"OBS_DEU_P1M_RR","142","1980-02-01","51.4","4","5",
"OBS_DEU_P1M_RR","142","1980-03-01","57.6","4","5",
"OBS_DEU_P1M_RR","142","1980-04-01","148.2","4","5",
"OBS_DEU_P1M_RR","142","1980-05-01","68.8","4","5",
"OBS_DEU_P1M_RR","142","1980-06-01","112.3","4","5",
"OBS_DEU_P1M_RR","142","1980-07-01","169.3","4","5",
"OBS_DEU_P1M_RR","142","1980-08-01","60.2","4","5",
"OBS_DEU_P1M_RR","142","1980-09-01","45","4","5",
"OBS_DEU_P1M_RR","142","1980-10-01","99.3","4","5",
"OBS_DEU_P1M_RR","142","1980-11-01","34.7","4","5",
"OBS_DEU_P1M_RR","142","1980-12-01","39.4","4","5",
"OBS_DEU_P1M_RR","142","1981-01-01","70.4","4","10",
"OBS_DEU_P1M_RR","142","1981-02-01","30.5","4","10",
"OBS_DEU_P1M_RR","142","1981-03-01","38.8","4","10",
"OBS_DEU_P1M_RR","142","1981-04-01","22.4","4","10",
"OBS_DEU_P1M_RR","142","1981-05-01","102","4","10",
"OBS_DEU_P1M_RR","142","1981-06-01","56.3","4","10",
"OBS_DEU_P1M_RR","142","1981-07-01","200.2","4","10",
"OBS_DEU_P1M_RR","142","1981-08-01","78.6","4","10",
"OBS_DEU_P1M_RR","142","1981-09-01","138.5","4","10",
"OBS_DEU_P1M_RR","142","1981-10-01","196.5","4","10",
"OBS_DEU_P1M_RR","142","1981-11-01","64.9","4","10",
"OBS_DEU_P1M_RR","142","1981-12-01","107.2","4","10",
"OBS_DEU_P1M_RR","142","1982-01-01","96.9","4","10",
"OBS_DEU_P1M_RR","142","1982-02-01","9.3","4","10",
"OBS_DEU_P1M_RR","142","1982-03-01","28.5","4","10",
"OBS_DEU_P1M_RR","142","1982-04-01","32.1","4","10",
"OBS_DEU_P1M_RR","142","1982-05-01","43.1","4","10",
"OBS_DEU_P1M_RR","142","1982-06-01","121.1","4","10",
"OBS_DEU_P1M_RR","142","1982-07-01","120.1","4","10",
"OBS_DEU_P1M_RR","142","1982-08-01","100.7","4","10",
"OBS_DEU_P1M_RR","142","1982-09-01","52.5","4","10",
"OBS_DEU_P1M_RR","142","1982-10-01","66.1","4","10",
"OBS_DEU_P1M_RR","142","1982-11-01","51.9","4","10",
"OBS_DEU_P1M_RR","142","1982-12-01","113.5","4","10",
"OBS_DEU_P1M_RR","142","1983-01-01","69","4","10",
"OBS_DEU_P1M_RR","142","1983-02-01","47.4","4","10",
"OBS_DEU_P1M_RR","142","1983-03-01","37.9","4","10",
"OBS_DEU_P1M_RR","142","1983-04-01","104.7","4","10",
"OBS_DEU_P1M_RR","142","1983-05-01","100.2","4","10",
"OBS_DEU_P1M_RR","142","1983-06-01","62","4","10",
"OBS_DEU_P1M_RR","142","1983-07-01","60.1","4","10",
"OBS_DEU_P1M_RR","142","1983-08-01","128.7","4","10",
"OBS_DEU_P1M_RR","142","1983-09-01","80.1","4","10",
"OBS_DEU_P1M_RR","142","1983-10-01","29.5","4","10",
"OBS_DEU_P1M_RR","142","1983-11-01","33.3","4","10",
"OBS_DEU_P1M_RR","142","1983-12-01","42.3","4","10",
"OBS_DEU_P1M_RR","142","1984-01-01","74.6","4","10",
"OBS_DEU_P1M_RR","142","1984-02-01","52.1","4","10",
"OBS_DEU_P1M_RR","142","1984-03-01","16.3","4","10",
"OBS_DEU_P1M_RR","142","1984-04-01","28.7","4","10",
"OBS_DEU_P1M_RR","142","1984-05-01","131","4","10",
"OBS_DEU_P1M_RR","142","1984-06-01","87.5","4","10",
"OBS_DEU_P1M_RR","142","1984-07-01","93","4","10",
"OBS_DEU_P1M_RR","142","1984-08-01","72.5","4","10",
"OBS_DEU_P1M_RR","142","1984-09-01","152.1","4","10",
"OBS_DEU_P1M_RR","142","1984-10-01","16.1","4","10",
"OBS_DEU_P1M_RR","142","1984-11-01","48.6","4","10",
"OBS_DEU_P1M_RR","142","1984-12-01","51.1","4","10",
"OBS_DEU_P1M_RR","142","1985-01-01","77.2","4","10",
"OBS_DEU_P1M_RR","142","1985-02-01","48","4","10",
"OBS_DEU_P1M_RR","142","1985-03-01","47.2","4","10",
"OBS_DEU_P1M_RR","142","1985-04-01","60.4","4","10",
"OBS_DEU_P1M_RR","142","1985-05-01","192.9","4","10",
"OBS_DEU_P1M_RR","142","1985-06-01","105.6","4","10",
"OBS_DEU_P1M_RR","142","1985-07-01","66.3","4","10",
"OBS_DEU_P1M_RR","142","1985-08-01","139.8","4","10",
"OBS_DEU_P1M_RR","142","1985-09-01","51.7","4","10",
"OBS_DEU_P1M_RR","142","1985-10-01","20.3","4","10",
"OBS_DEU_P1M_RR","142","1985-11-01","94.1","4","10",
"OBS_DEU_P1M_RR","142","1985-12-01","33.3","4","10",
"OBS_DEU_P1M_RR","142","1986-01-01","88.7","4","10",
"OBS_DEU_P1M_RR","142","1986-02-01","25","4","10",
"OBS_DEU_P1M_RR","142","1986-03-01","56.2","4","10",
"OBS_DEU_P1M_RR","142","1986-04-01","106.3","4","10",
"OBS_DEU_P1M_RR","142","1986-05-01","133.1","4","10",
"OBS_DEU_P1M_RR","142","1986-06-01","77.3","4","10",
"OBS_DEU_P1M_RR","142","1986-07-01","121.5","4","10",
"OBS_DEU_P1M_RR","142","1986-08-01","115.9","4","10",
"OBS_DEU_P1M_RR","142","1986-09-01","19.1","4","10",
"OBS_DEU_P1M_RR","142","1986-10-01","70.1","4","10",
"OBS_DEU_P1M_RR","142","1986-11-01","29.4","4","10",
"OBS_DEU_P1M_RR","142","1986-12-01","47.4","4","10",
"OBS_DEU_P1M_RR","142","1987-01-01","40.5","4","10",
"OBS_DEU_P1M_RR","142","1987-02-01","62.4","4","10",
"OBS_DEU_P1M_RR","142","1987-03-01","46.9","4","10",
"OBS_DEU_P1M_RR","142","1987-04-01","44","4","10",
"OBS_DEU_P1M_RR","142","1987-05-01","138.8","4","10",
